,period,catl,catm,age,gender,sido,sigungu,cgi
1,201901,건강/의료용품,건강관리용품,20,F,서울,광진구,119.5964542000844
2,201901,건강/의료용품,건강관리용품,20,F,서울,도봉구,156.99284735961044
5,201901,건강/의료용품,건강관리용품,20,F,서울,성북구,78.893827545997
10,201901,건강/의료용품,건강관리용품,20,M,서울,광진구,89.57859643738928
12,201901,건강/의료용품,건강관리용품,20,M,서울,동대문구,104.38418577176321
20,201901,건강/의료용품,건강관리용품,20,all,서울,광진구,108.278680333861
21,201901,건강/의료용품,건강관리용품,20,all,서울,동대문구,96.20588255853256
28,201901,식품,가공식품,20,F,서울,강북구,103.24921714042792
32,201901,식품,가공식품,20,F,서울,동대문구,112.3713884393363
37,201901,식품,가공식품,20,M,서울,노원구,107.77051084982969
45,201901,식품,가공식품,20,all,서울,도봉구,112.80775455225692
46,201901,식품,가공식품,20,all,서울,동대문구,117.52172338088778
51,201901,식품,기호식품,20,F,서울,중랑구,125.06290992957443
55,201901,식품,기호식품,20,M,서울,동대문구,100.99093734340346
56,201901,식품,기호식품,20,M,서울,성북구,116.74105823233816
58,201901,식품,기호식품,20,M,서울,중랑구,50.62601190166691
59,201901,식품,기호식품,20,all,서울,강북구,138.04051699399392
69,201901,식품,담배,20,F,서울,도봉구,100.53566245349235
74,201901,식품,담배,20,F,서울,중랑구,190.241097102411
76,201901,식품,담배,20,M,서울,광진구,134.2068046231123
77,201901,식품,담배,20,M,서울,성동구,149.51342801141638
80,201901,식품,담배,20,all,서울,동대문구,167.98490537269626
89,201901,식품,빙과류,20,F,서울,노원구,77.73556919510185
96,201901,식품,빙과류,20,M,서울,노원구,54.453932386252546
97,201901,식품,빙과류,20,M,서울,도봉구,94.58458990831787
98,201901,식품,빙과류,20,M,서울,동대문구,92.62340459915151
101,201901,식품,빙과류,20,M,서울,성북구,87.55424455460575
106,201901,식품,빙과류,20,all,서울,도봉구,81.39626485196487
114,201901,식품,빵류,20,M,서울,노원구,155.180380927439
116,201901,식품,빵류,20,M,서울,성북구,119.28569494124191
124,201901,식품,빵류,20,all,서울,중랑구,129.29718296547708
126,201901,식품,신선식품,20,F,서울,광진구,98.97013364197457
128,201901,식품,신선식품,20,F,서울,도봉구,138.45615575670683
129,201901,식품,신선식품,20,F,서울,동대문구,113.8925216890864
132,201901,식품,신선식품,20,M,서울,강북구,95.05227269966812
135,201901,식품,신선식품,20,M,서울,도봉구,108.3340348703937
136,201901,식품,신선식품,20,M,서울,성북구,87.5923451925688
139,201901,식품,신선식품,20,all,서울,광진구,106.5278127182691
140,201901,식품,신선식품,20,all,서울,동대문구,117.01774929378118
141,201901,식품,신선식품,20,all,서울,성북구,105.5411272082298
147,201901,식품,유제품류,20,F,서울,광진구,101.3881904250266
148,201901,식품,유제품류,20,F,서울,동대문구,110.23946497756222
157,201901,식품,유제품류,20,M,서울,노원구,96.73839306416578
166,201901,식품,유제품류,20,all,서울,강북구,111.93797702379852
168,201901,식품,유제품류,20,all,서울,노원구,108.69344504775587
169,201901,식품,유제품류,20,all,서울,성동구,95.74912779325732
172,201901,식품,유제품류,20,all,서울,중랑구,111.01830668232238
174,201901,식품,음료,20,F,서울,노원구,104.68236476124531
175,201901,식품,음료,20,F,서울,도봉구,96.13802625663234
179,201901,식품,음료,20,F,서울,중랑구,127.58687358090208
181,201901,식품,음료,20,M,서울,노원구,107.25694926532327
183,201901,식품,음료,20,M,서울,중랑구,104.68238527650068
185,201901,식품,음료,20,all,서울,노원구,105.57834080682214
186,201901,식품,음료,20,all,서울,도봉구,103.21561915329279
192,201901,식품,제과류,20,F,서울,노원구,103.15204494575472
197,201901,식품,제과류,20,F,서울,중랑구,95.41960219585584
199,201901,식품,제과류,20,M,서울,강북구,83.20527511315105
200,201901,식품,제과류,20,M,서울,광진구,111.57673258056143
204,201901,식품,제과류,20,M,서울,중랑구,93.52046334855996
205,201901,식품,제과류,20,all,서울,강북구,98.05004854652657
207,201901,식품,제과류,20,all,서울,광진구,105.26307627838072
209,201901,식품,제과류,20,all,서울,노원구,102.29446754552342
210,201901,식품,제과류,20,all,서울,성북구,82.46779441327519
212,201901,식품,주류,20,F,서울,강북구,92.0000404293598
216,201901,식품,주류,20,F,서울,도봉구,101.53422237729548
218,201901,식품,주류,20,F,서울,성동구,108.55831941714243
222,201901,식품,주류,20,M,서울,성북구,77.28537786341253
226,201901,식품,주류,20,all,서울,강북구,95.01370057978113
230,201901,식품,주류,20,all,서울,노원구,100.69073613744492
231,201901,식품,주류,20,all,서울,성북구,89.90627983080999
233,201901,식품,주류,20,all,서울,중랑구,110.9507796435915
241,201901,일용품,생활용품,20,M,서울,도봉구,83.19373444630023
244,201901,일용품,생활용품,20,M,서울,중랑구,90.85405670320552
246,201901,일용품,생활용품,20,all,서울,노원구,94.47454011600736
247,201901,일용품,생활용품,20,all,서울,도봉구,93.6977359586149
252,201901,일용품,생활용품,20,all,서울,중랑구,168.13302350674886
255,201901,일용품,애완동물용품,20,F,서울,도봉구,80.31720508697559
262,201901,일용품,애완동물용품,20,F,서울,중랑구,495.76316636275874
265,201901,일용품,애완동물용품,20,M,서울,도봉구,64.26790167438546
266,201901,일용품,애완동물용품,20,M,서울,동대문구,100.15621622129692
271,201901,일용품,애완동물용품,20,all,서울,성동구,83.86040166912797
272,201901,일용품,애완동물용품,20,all,서울,성북구,88.69245788189569
277,201901,화장품,바디/헤어용품,20,F,서울,광진구,127.76855778884178
282,201901,화장품,바디/헤어용품,20,F,서울,중랑구,93.06535257894777
290,201901,화장품,바디/헤어용품,20,all,서울,성북구,83.47693764351219
292,201901,화장품,뷰티소품,20,F,서울,강북구,86.6727680373436
303,201901,화장품,뷰티소품,20,M,서울,노원구,95.8813997144095
304,201901,화장품,뷰티소품,20,all,서울,성북구,67.03374189869459
311,201901,화장품,화장품,20,F,서울,노원구,67.22024472311746
312,201901,화장품,화장품,20,F,서울,동대문구,115.2143984557374
314,201901,화장품,화장품,20,F,서울,성북구,53.03552236338082
320,201901,화장품,화장품,20,M,서울,광진구,67.64199786830422
321,201901,화장품,화장품,20,M,서울,노원구,174.23575014821893
322,201901,화장품,화장품,20,M,서울,성북구,115.61805179977164
324,201901,화장품,화장품,20,all,서울,강북구,71.16288268092948
328,201901,화장품,화장품,20,all,서울,성동구,117.36208251698828
334,201901,건강/의료용품,건강관리용품,20,F,서울,동대문구,87.84895131675225
341,201901,건강/의료용품,건강관리용품,20,M,서울,성동구,132.5120132450038
344,201901,건강/의료용품,건강관리용품,20,M,서울,중랑구,90.15619745584844
352,201901,식품,가공식품,20,M,서울,도봉구,106.77420187795697
354,201901,식품,가공식품,20,M,서울,성동구,106.52810528714524
357,201901,식품,가공식품,20,all,서울,강북구,104.37566647589337
359,201901,식품,가공식품,20,all,서울,성동구,104.80470117925584
361,201901,식품,기호식품,20,F,서울,노원구,117.20174257767286
363,201901,식품,기호식품,20,F,서울,성북구,119.65384569852377
368,201901,식품,기호식품,20,M,서울,광진구,107.3310514102508
371,201901,식품,기호식품,20,M,서울,성동구,93.49399331587028
374,201901,식품,기호식품,20,all,서울,동대문구,109.04104674848135
376,201901,식품,기호식품,20,all,서울,성동구,95.30971057720429
378,201901,식품,기호식품,20,all,서울,중랑구,110.36000956200695
380,201901,식품,담배,20,F,서울,광진구,120.98838390367321
381,201901,식품,담배,20,F,서울,노원구,145.45731707317069
382,201901,식품,담배,20,F,서울,동대문구,168.23315971206182
384,201901,식품,담배,20,F,서울,성북구,201.83279022596005
390,201901,식품,담배,20,all,서울,강북구,133.22971645673456
393,201901,식품,담배,20,all,서울,도봉구,139.0062956923642
394,201901,식품,빙과류,20,F,서울,도봉구,75.68087675000103
395,201901,식품,빙과류,20,F,서울,성동구,90.66659625479241
398,201901,식품,빙과류,20,M,서울,광진구,57.27471335114566
404,201901,식품,빙과류,20,all,서울,노원구,71.28382702273447
405,201901,식품,빙과류,20,all,서울,동대문구,86.9406764278173
415,201901,식품,빵류,20,F,서울,강북구,84.21209923936979
417,201901,식품,빵류,20,F,서울,노원구,136.88141154632166
418,201901,식품,빵류,20,F,서울,도봉구,98.36841859403414
419,201901,식품,빵류,20,F,서울,성북구,112.76946192028437
424,201901,식품,빵류,20,M,서울,성동구,100.17936177580812
428,201901,식품,빵류,20,M,서울,중랑구,148.93762394819709
430,201901,식품,빵류,20,all,서울,노원구,142.75168020776113
442,201901,식품,신선식품,20,M,서울,동대문구,126.09978754855166
451,201901,식품,신선식품,20,all,서울,노원구,114.13088384940285
452,201901,식품,신선식품,20,all,서울,도봉구,127.81376582814954
458,201901,식품,신선식품,20,all,서울,중랑구,99.32670005427157
459,201901,식품,유제품류,20,F,서울,강북구,110.3905281571844
466,201901,식품,유제품류,20,M,서울,강북구,116.3892549107016
467,201901,식품,유제품류,20,M,서울,도봉구,102.83893976886276
468,201901,식품,유제품류,20,M,서울,성동구,95.48724070524416
476,201901,식품,음료,20,F,서울,광진구,108.03719503111955
478,201901,식품,음료,20,F,서울,성동구,107.35392061152784
482,201901,식품,음료,20,M,서울,광진구,94.68969470599815
483,201901,식품,음료,20,M,서울,도봉구,115.43826573723007
484,201901,식품,음료,20,M,서울,동대문구,104.7000404133523
489,201901,식품,음료,20,all,서울,강북구,90.37260910782229
500,201901,식품,제과류,20,M,서울,노원구,99.79384716320743
501,201901,식품,제과류,20,M,서울,도봉구,139.13025018168392
502,201901,식품,제과류,20,M,서울,동대문구,89.36410464674756
508,201901,식품,제과류,20,all,서울,도봉구,116.3494933726223
516,201901,식품,주류,20,F,서울,성북구,95.47931013468218
518,201901,식품,주류,20,F,서울,중랑구,113.11277126548832
521,201901,식품,주류,20,M,서울,동대문구,93.91092224923807
528,201901,식품,주류,20,all,서울,도봉구,104.37010139443531
531,201901,식품,주류,20,all,서울,성동구,104.61739361196092
533,201901,일용품,생활용품,20,F,서울,강북구,90.06032076183601
536,201901,일용품,생활용품,20,F,서울,동대문구,89.95089055733892
537,201901,일용품,생활용품,20,F,서울,성동구,92.70822862981008
538,201901,일용품,생활용품,20,F,서울,성북구,93.55988162410604
544,201901,일용품,생활용품,20,M,서울,광진구,122.6613660686773
545,201901,일용품,생활용품,20,M,서울,노원구,85.07273914612423
547,201901,일용품,생활용품,20,M,서울,성북구,90.31997968586454
549,201901,일용품,생활용품,20,all,서울,광진구,98.16599698243832
550,201901,일용품,생활용품,20,all,서울,동대문구,88.54129196180912
552,201901,일용품,생활용품,20,all,서울,성동구,86.95958018338453
553,201901,일용품,생활용품,20,all,서울,성북구,92.93097748562808
557,201901,일용품,애완동물용품,20,F,서울,동대문구,102.38286980742839
560,201901,일용품,애완동물용품,20,F,서울,성동구,55.58140005258794
566,201901,일용품,애완동물용품,20,all,서울,동대문구,101.83230654516932
570,201901,일용품,애완동물용품,20,all,서울,중랑구,404.0327515370495
571,201901,화장품,기타화장품,20,F,서울,노원구,30.848329048843194
572,201901,화장품,기타화장품,20,M,서울,노원구,32.87671232876712
578,201901,화장품,바디/헤어용품,20,F,서울,성동구,74.79144197906588
582,201901,화장품,바디/헤어용품,20,M,서울,강북구,113.94361823728356
583,201901,화장품,바디/헤어용품,20,M,서울,광진구,405.8665404637956
584,201901,화장품,바디/헤어용품,20,M,서울,동대문구,131.15618344795732
589,201901,화장품,바디/헤어용품,20,all,서울,노원구,118.04930143387772
594,201901,화장품,뷰티소품,20,F,서울,노원구,62.72414594509132
595,201901,화장품,뷰티소품,20,F,서울,동대문구,57.551996666688176
596,201901,화장품,뷰티소품,20,F,서울,성동구,76.31162172681759
597,201901,화장품,뷰티소품,20,F,서울,성북구,82.04975264025823
602,201901,화장품,뷰티소품,20,all,서울,강북구,89.2318245352186
604,201901,화장품,뷰티소품,20,all,서울,광진구,61.876175495205935
623,201901,화장품,화장품,20,all,서울,도봉구,94.626549884099
624,201901,화장품,화장품,20,all,서울,동대문구,116.67886012146988
628,201901,화장품,화장품,20,all,서울,중랑구,82.6876619393924
631,201901,건강/의료용품,건강관리용품,20,F,서울,성동구,52.71831425358649
634,201901,건강/의료용품,건강관리용품,20,F,서울,중랑구,206.4622995095301
635,201901,건강/의료용품,건강관리용품,20,M,서울,강북구,120.54468338418036
639,201901,건강/의료용품,건강관리용품,20,all,서울,강북구,110.86995372550692
640,201901,건강/의료용품,건강관리용품,20,all,서울,도봉구,66.67672088764408
643,201901,건강/의료용품,건강관리용품,20,all,서울,성동구,91.50911927691395
645,201901,건강/의료용품,건강관리용품,20,all,서울,중랑구,168.5179405405712
648,201901,식품,가공식품,20,F,서울,노원구,121.59238868665264
649,201901,식품,가공식품,20,F,서울,도봉구,116.61145132889787
656,201901,식품,가공식품,20,M,서울,성북구,85.98251327957146
660,201901,식품,가공식품,20,all,서울,광진구,104.96202673828682
661,201901,식품,가공식품,20,all,서울,노원구,117.69111735439951
669,201901,식품,기호식품,20,F,서울,광진구,93.92142079010479
671,201901,식품,기호식품,20,F,서울,도봉구,115.24443569995678
