,SERIAL_NUMBER,PROCESS_DT,DLVR_RQESTER_ID,DLVR_REQUST_STTUS_VALUE,DLVR_RCEPT_CMPNY_ID,DLVR_STORE_ID,DLVR_STORE_INDUTY_NM,DLVR_STORE_LEGALDONG_CODE,DLVR_STORE_SIDO,DLVR_STORE_SIGUNGU,DLVR_STORE_DONG,DLVR_STORE_RI,DLVR_STORE_ADSTRD_CODE,DLVR_STORE_RDNMADR_CODE,DLVR_DSTN_LEGALDONG_CODE,DLVR_DSTN_SIDO,DLVR_DSTN_SIGUNGU,DLVR_DSTN_DONG,DLVR_DSTN_RI,DLVR_DSTN_ADSTRD_CODE,DLVR_DSTN_RDNMADR_CODE,DLVR_MAN_ID,DLVR_AMOUNT,CALL_RLAY_FEE_AMOUNT,GOODS_AMOUNT,SETLE_KND_VALUE,SETLE_CARD_CN,DLVR_RCEPT_TIME,DLVR_CARALC_TIME,DLVR_COMPT_TIME,DLVR_CANCL_TIME
861620,5597197,2020-02-02,C000332,1,C000332,S0019823,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163631.0,D0008385,3000,200,42600,2,,2020-02-02 09:26:02,2020-02-02 09:26:35,2020-02-02 09:41:41,
861645,5597223,2020-02-02,C000332,1,C000332,S0019823,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163687.0,D0008385,3000,200,11800,2,,2020-02-02 09:05:12,2020-02-02 09:05:26,2020-02-02 09:16:32,
861714,5597302,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163242.0,D0006835,4000,300,28400,2,,2020-02-02 11:31:42,2020-02-02 11:32:12,2020-02-02 11:39:25,
861903,5597522,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163322.0,D0006835,4000,300,26300,2,,2020-02-02 11:21:19,2020-02-02 11:21:47,2020-02-02 11:39:27,
862420,5598155,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116504163119.0,D0008385,4000,200,13300,2,,2020-02-02 10:52:18,2020-02-02 10:52:52,2020-02-02 10:59:50,
862618,5598390,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163385.0,D0008385,3000,200,13400,2,,2020-02-02 10:22:01,2020-02-02 10:24:24,2020-02-02 10:49:04,
862807,5598615,2020-02-02,C000332,2,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163385.0,D0008385,0,200,13400,2,,2020-02-02 10:19:57,2020-02-02 10:20:21,,2020-02-02 10:21:32
863826,5599802,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163631.0,D0006835,3000,300,17100,2,,2020-02-02 12:18:58,2020-02-02 12:19:36,2020-02-02 12:44:15,
863854,5599832,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163640.0,D0006835,3500,300,14000,2,,2020-02-02 12:19:52,2020-02-02 12:20:16,2020-02-02 12:44:14,
864560,5600679,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163625.0,D0006835,3000,300,12600,2,,2020-02-02 12:24:17,2020-02-02 12:29:17,2020-02-02 12:44:12,
867097,5603631,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163167.0,D0008385,3500,200,15600,2,,2020-02-02 13:19:35,2020-02-02 13:20:18,2020-02-02 13:30:33,
867585,5604211,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116503121011.0,D0008385,3000,200,11100,2,,2020-02-02 13:28:17,2020-02-02 13:28:42,2020-02-02 13:41:43,
867692,5604329,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163265.0,D0008385,3000,200,19600,1,승인:KB국민카드,2020-02-02 14:10:51,2020-02-02 14:28:19,2020-02-02 14:28:30,
868007,5604704,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163386.0,D0006552,3000,300,21400,2,,2020-02-02 13:55:00,2020-02-02 13:57:31,2020-02-02 14:20:11,
868190,5604924,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163326.0,D0006552,3500,300,19500,3,,2020-02-02 13:54:20,2020-02-02 13:57:30,2020-02-02 14:20:14,
868509,5605287,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163254.0,D0006552,3000,300,13800,2,,2020-02-02 13:56:01,2020-02-02 13:57:31,2020-02-02 14:20:13,
869539,5606502,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163632.0,D0008385,3000,200,13100,2,,2020-02-02 15:08:01,2020-02-02 15:09:58,2020-02-02 15:18:51,
