,기간,업종대분류,업종소분류,연령,성별,시도,시군구,소비지수
8,201901,건강/의료용품,건강관리용품,20,M,서울,강동구,125.89504591221971
15,201901,건강/의료용품,건강관리용품,20,M,서울,송파구,79.43028867956994
36,201901,식품,가공식품,20,M,서울,강남구,145.93728106499682
41,201901,식품,가공식품,20,all,서울,강남구,122.10584128980602
48,201901,식품,기호식품,20,F,서울,강남구,123.32294447699672
49,201901,식품,기호식품,20,F,서울,서초구,89.81967063704045
52,201901,식품,기호식품,20,M,서울,강남구,130.28714186797148
66,201901,식품,담배,20,F,서울,강남구,138.79487112333982
70,201901,식품,담배,20,F,서울,송파구,117.58423016078319
82,201901,식품,담배,20,all,서울,서초구,179.75804479118977
88,201901,식품,빙과류,20,F,서울,강남구,71.03255704880081
94,201901,식품,빙과류,20,M,서울,강남구,66.43354344293654
108,201901,식품,빙과류,20,all,서울,서초구,79.01167713996979
117,201901,식품,빵류,20,M,서울,송파구,114.97624774959505
120,201901,식품,빵류,20,all,서울,강남구,110.66194859166795
121,201901,식품,빵류,20,all,서울,강동구,112.95713265278442
123,201901,식품,빵류,20,all,서울,송파구,114.59029453575808
142,201901,식품,신선식품,20,all,서울,송파구,123.26466992811064
146,201901,식품,유제품류,20,F,서울,강남구,98.99417836672458
151,201901,식품,유제품류,20,F,서울,송파구,112.38828158657921
160,201901,식품,유제품류,20,M,서울,서초구,116.06547201753212
161,201901,식품,유제품류,20,M,서울,송파구,106.33067168318176
170,201901,식품,유제품류,20,all,서울,송파구,110.9128870960135
173,201901,식품,음료,20,F,서울,강남구,103.89029998278221
187,201901,식품,음료,20,all,서울,서초구,106.42225654083721
188,201901,식품,음료,20,all,서울,송파구,105.69358167757385
191,201901,식품,제과류,20,F,서울,강남구,109.03913208148771
194,201901,식품,제과류,20,F,서울,서초구,112.27798149433069
195,201901,식품,제과류,20,F,서울,송파구,107.54475705741771
198,201901,식품,제과류,20,M,서울,강남구,85.42302152068002
202,201901,식품,제과류,20,M,서울,서초구,104.66026567346556
221,201901,식품,주류,20,M,서울,강동구,126.82481567918316
225,201901,식품,주류,20,all,서울,강동구,124.78539326599777
235,201901,일용품,생활용품,20,F,서울,강남구,90.26304889303788
253,201901,일용품,애완동물용품,20,F,서울,강남구,48.186361301304906
263,201901,일용품,애완동물용품,20,M,서울,강남구,74.97499858666475
267,201901,일용품,애완동물용품,20,M,서울,서초구,72.80151962712233
268,201901,일용품,애완동물용품,20,M,서울,송파구,68.5167936776743
