,기준월,대분류,중분류,나이,성별,시도명,시군구명,성장지수
0,201901,건강/의료용품,건강관리용품,20,F,서울,관악구,115.37464197036778
3,201901,건강/의료용품,건강관리용품,20,F,서울,동작구,58.342725628178776
9,201901,건강/의료용품,건강관리용품,20,M,서울,강서구,97.52659194691635
11,201901,건강/의료용품,건강관리용품,20,M,서울,금천구,143.72089108355308
18,201901,건강/의료용품,건강관리용품,20,all,서울,강서구,97.08785089034176
19,201901,건강/의료용품,건강관리용품,20,all,서울,관악구,113.57260349480106
23,201901,건강/의료용품,건강관리용품,20,all,서울,양천구,133.93444302653762
24,201901,건강/의료용품,건강관리용품,20,all,서울,영등포구,117.27707847809437
29,201901,식품,가공식품,20,F,서울,강서구,111.66750823131132
30,201901,식품,가공식품,20,F,서울,관악구,119.85900428349268
31,201901,식품,가공식품,20,F,서울,구로구,197.3255533774244
33,201901,식품,가공식품,20,F,서울,동작구,43.26794225005035
35,201901,식품,가공식품,20,F,서울,양천구,115.30069170517416
38,201901,식품,가공식품,20,M,서울,동작구,52.83889524355045
42,201901,식품,가공식품,20,all,서울,강서구,112.95132479371846
43,201901,식품,가공식품,20,all,서울,관악구,117.05528928137232
44,201901,식품,가공식품,20,all,서울,구로구,176.0511755945925
47,201901,식품,가공식품,20,all,서울,동작구,46.11524643526364
50,201901,식품,기호식품,20,F,서울,영등포구,112.51135848084424
53,201901,식품,기호식품,20,M,서울,강서구,121.94852033840515
54,201901,식품,기호식품,20,M,서울,금천구,137.335082280518
57,201901,식품,기호식품,20,M,서울,영등포구,113.85081324417943
60,201901,식품,기호식품,20,all,서울,구로구,90.4239504136751
61,201901,식품,기호식품,20,all,서울,동작구,50.24214358001601
63,201901,식품,기호식품,20,all,서울,양천구,217.45914131371043
64,201901,식품,기호식품,20,all,서울,영등포구,112.87549609631004
67,201901,식품,담배,20,F,서울,관악구,157.31771288686838
68,201901,식품,담배,20,F,서울,구로구,87.99139682160353
75,201901,식품,담배,20,M,서울,관악구,149.38324464289352
83,201901,식품,담배,20,all,서울,영등포구,123.41104950230476
90,201901,식품,빙과류,20,F,서울,동작구,79.13196021380338
91,201901,식품,빙과류,20,F,서울,영등포구,91.59191837662891
95,201901,식품,빙과류,20,M,서울,구로구,57.338114242807244
99,201901,식품,빙과류,20,M,서울,동작구,74.00844214539752
107,201901,식품,빙과류,20,all,서울,동작구,77.55884237256042
109,201901,식품,빙과류,20,all,서울,영등포구,82.54251442676463
110,201901,식품,빵류,20,F,서울,금천구,222.7765948938149
111,201901,식품,빵류,20,F,서울,동작구,97.4483839358226
113,201901,식품,빵류,20,M,서울,강서구,109.59112701772357
122,201901,식품,빵류,20,all,서울,금천구,204.05480874960583
125,201901,식품,신선식품,20,F,서울,관악구,119.26455407400698
127,201901,식품,신선식품,20,F,서울,금천구,261.2774077559008
133,201901,식품,신선식품,20,M,서울,관악구,112.35826279778944
134,201901,식품,신선식품,20,M,서울,금천구,239.8258236403805
137,201901,식품,신선식품,20,M,서울,양천구,139.8324791841663
143,201901,식품,신선식품,20,all,서울,영등포구,154.32889394840822
149,201901,식품,유제품류,20,F,서울,동작구,55.924142891062935
152,201901,식품,유제품류,20,F,서울,양천구,105.94892094194748
153,201901,식품,유제품류,20,F,서울,영등포구,111.63864574826592
154,201901,식품,유제품류,20,M,서울,강서구,116.16419136560715
155,201901,식품,유제품류,20,M,서울,관악구,109.06606945766336
156,201901,식품,유제품류,20,M,서울,구로구,101.93170219875972
167,201901,식품,유제품류,20,all,서울,강서구,112.9964656832477
180,201901,식품,음료,20,M,서울,관악구,108.33873302904598
184,201901,식품,음료,20,all,서울,관악구,106.156830469941
206,201901,식품,제과류,20,all,서울,관악구,101.21458913972911
208,201901,식품,제과류,20,all,서울,구로구,104.4814412912916
211,201901,식품,제과류,20,all,서울,영등포구,105.62083004634505
213,201901,식품,주류,20,F,서울,관악구,99.65565029767971
214,201901,식품,주류,20,F,서울,구로구,94.95230375868843
215,201901,식품,주류,20,F,서울,금천구,218.54792105919896
217,201901,식품,주류,20,F,서울,동작구,82.34074712698906
227,201901,식품,주류,20,all,서울,강서구,111.17690528713624
228,201901,식품,주류,20,all,서울,관악구,101.39497795876042
229,201901,식품,주류,20,all,서울,금천구,199.1118189621912
236,201901,일용품,생활용품,20,F,서울,구로구,107.41419510411743
237,201901,일용품,생활용품,20,F,서울,동작구,43.05557627115033
242,201901,일용품,생활용품,20,M,서울,양천구,97.44169197710514
243,201901,일용품,생활용품,20,M,서울,영등포구,82.4180202058155
245,201901,일용품,생활용품,20,all,서울,구로구,106.53744566917587
248,201901,일용품,생활용품,20,all,서울,양천구,75.5886074162316
249,201901,일용품,생활용품,20,all,서울,영등포구,85.71924375491987
254,201901,일용품,애완동물용품,20,F,서울,구로구,86.67256313118662
256,201901,일용품,애완동물용품,20,F,서울,동작구,32.57142857142857
257,201901,일용품,애완동물용품,20,F,서울,양천구,61.7765598787876
258,201901,일용품,애완동물용품,20,F,서울,영등포구,71.40583893370572
264,201901,일용품,애완동물용품,20,M,서울,강서구,88.16121926578327
269,201901,일용품,애완동물용품,20,M,서울,양천구,71.62921348314606
276,201901,화장품,바디/헤어용품,20,F,서울,강서구,99.91999055541041
278,201901,화장품,바디/헤어용품,20,F,서울,양천구,50.103144432969295
279,201901,화장품,바디/헤어용품,20,F,서울,영등포구,101.36939479221542
283,201901,화장품,바디/헤어용품,20,M,서울,관악구,112.05403398341495
284,201901,화장품,바디/헤어용품,20,M,서울,구로구,5679.8973857214705
285,201901,화장품,바디/헤어용품,20,M,서울,금천구,185.94240845161653
286,201901,화장품,바디/헤어용품,20,M,서울,동작구,107.4217509999365
287,201901,화장품,바디/헤어용품,20,all,서울,구로구,1491.1736578852033
288,201901,화장품,바디/헤어용품,20,all,서울,금천구,193.21385275653518
293,201901,화장품,뷰티소품,20,F,서울,금천구,128.19975135928584
296,201901,화장품,뷰티소품,20,F,서울,영등포구,69.58008023430952
301,201901,화장품,뷰티소품,20,M,서울,관악구,138.0433243664165
302,201901,화장품,뷰티소품,20,M,서울,금천구,77.40231751644801
309,201901,화장품,화장품,20,F,서울,강서구,81.80866248253461
310,201901,화장품,화장품,20,F,서울,관악구,166.74955138392227
316,201901,화장품,화장품,20,F,서울,양천구,121.00605177027737
317,201901,화장품,화장품,20,F,서울,영등포구,87.76921453887388
319,201901,화장품,화장품,20,M,서울,관악구,337.8552739123953
325,201901,화장품,화장품,20,all,서울,강서구,85.0196010625119
332,201901,건강/의료용품,건강관리용품,20,F,서울,구로구,44.374716338214405
333,201901,건강/의료용품,건강관리용품,20,F,서울,금천구,146.82321257721972
338,201901,건강/의료용품,건강관리용품,20,M,서울,구로구,130.61238649471395
339,201901,건강/의료용품,건강관리용품,20,M,서울,동작구,68.82534732856307
342,201901,건강/의료용품,건강관리용품,20,M,서울,영등포구,89.13593055880291
346,201901,건강/의료용품,건강관리용품,20,all,서울,구로구,71.7123291908176
347,201901,건강/의료용품,건강관리용품,20,all,서울,금천구,145.70786607523368
355,201901,식품,가공식품,20,M,서울,영등포구,107.82136958310305
360,201901,식품,기호식품,20,F,서울,금천구,644.5429293014147
362,201901,식품,기호식품,20,F,서울,동작구,68.8139546796011
364,201901,식품,기호식품,20,F,서울,양천구,213.261347797612
369,201901,식품,기호식품,20,M,서울,동작구,12.129151201998885
383,201901,식품,담배,20,F,서울,동작구,126.81783720449377
389,201901,식품,담배,20,M,서울,구로구,217.1787621740496
391,201901,식품,담배,20,all,서울,강서구,152.0147734843944
392,201901,식품,담배,20,all,서울,금천구,191.97545754890137
397,201901,식품,빙과류,20,M,서울,강서구,60.425657001216685
399,201901,식품,빙과류,20,M,서울,금천구,69.75507272548718
401,201901,식품,빙과류,20,M,서울,양천구,50.6040736246999
403,201901,식품,빙과류,20,all,서울,관악구,85.75764970148974
416,201901,식품,빵류,20,F,서울,관악구,100.37334802406315
420,201901,식품,빵류,20,F,서울,양천구,75.15217449096237
425,201901,식품,빵류,20,M,서울,양천구,116.75966466599195
426,201901,식품,빵류,20,M,서울,영등포구,98.85219438178673
429,201901,식품,빵류,20,all,서울,구로구,208.9446610212997
431,201901,식품,빵류,20,all,서울,동작구,97.06708933665855
432,201901,식품,빵류,20,all,서울,영등포구,102.43112161997757
435,201901,식품,신선식품,20,F,서울,강서구,117.36060378263274
440,201901,식품,신선식품,20,M,서울,강서구,113.74852716017776
441,201901,식품,신선식품,20,M,서울,구로구,116.27034071365108
445,201901,식품,신선식품,20,M,서울,영등포구,158.25088456719806
448,201901,식품,신선식품,20,all,서울,강서구,116.62105697711435
449,201901,식품,신선식품,20,all,서울,관악구,117.56093635003113
450,201901,식품,신선식품,20,all,서울,구로구,130.9281150926688
453,201901,식품,신선식품,20,all,서울,동작구,3.934748984769885
460,201901,식품,유제품류,20,F,서울,강서구,112.10672163762959
461,201901,식품,유제품류,20,F,서울,구로구,107.10693501196477
470,201901,식품,유제품류,20,all,서울,관악구,116.08460991409056
471,201901,식품,유제품류,20,all,서울,금천구,214.3388698427232
472,201901,식품,유제품류,20,all,서울,양천구,111.10728929547537
473,201901,식품,유제품류,20,all,서울,영등포구,105.77263384575492
477,201901,식품,음료,20,F,서울,구로구,96.6498102067238
485,201901,식품,음료,20,M,서울,동작구,65.18303878815699
490,201901,식품,음료,20,all,서울,동작구,68.44161992321068
491,201901,식품,음료,20,all,서울,양천구,94.68218505819529
495,201901,식품,제과류,20,F,서울,강서구,112.367527139437
496,201901,식품,제과류,20,F,서울,구로구,108.31109770674708
497,201901,식품,제과류,20,F,서울,영등포구,105.98428602538318
499,201901,식품,제과류,20,M,서울,구로구,93.229968919937
503,201901,식품,제과류,20,M,서울,동작구,73.85941480193638
505,201901,식품,제과류,20,M,서울,영등포구,104.69178436164654
509,201901,식품,제과류,20,all,서울,양천구,98.82690502381584
520,201901,식품,주류,20,M,서울,금천구,169.48951504034142
524,201901,식품,주류,20,M,서울,양천구,75.42133115265676
525,201901,식품,주류,20,M,서울,영등포구,147.6308315061307
529,201901,식품,주류,20,all,서울,동작구,94.84269543314757
532,201901,식품,주류,20,all,서울,영등포구,116.13952569449921
534,201901,일용품,생활용품,20,F,서울,관악구,121.5079495932836
535,201901,일용품,생활용품,20,F,서울,금천구,230.77241548415853
539,201901,일용품,생활용품,20,F,서울,영등포구,86.9454216062216
543,201901,일용품,생활용품,20,M,서울,관악구,97.32831510886429
555,201901,일용품,애완동물용품,20,F,서울,관악구,117.13895801557358
556,201901,일용품,애완동물용품,20,F,서울,금천구,403.0235824177221
561,201901,일용품,애완동물용품,20,M,서울,구로구,30.14885134941349
562,201901,일용품,애완동물용품,20,M,서울,금천구,241.5111515703232
565,201901,일용품,애완동물용품,20,all,서울,관악구,116.24438188373587
574,201901,화장품,바디/헤어용품,20,F,서울,관악구,79.75772453831942
575,201901,화장품,바디/헤어용품,20,F,서울,금천구,196.50986812309964
586,201901,화장품,바디/헤어용품,20,M,서울,영등포구,115.40521637806862
593,201901,화장품,뷰티소품,20,F,서울,구로구,27.485556309699213
603,201901,화장품,뷰티소품,20,all,서울,관악구,114.5070507777038
605,201901,화장품,뷰티소품,20,all,서울,구로구,37.83657567131482
606,201901,화장품,뷰티소품,20,all,서울,금천구,121.02450867423777
609,201901,화장품,뷰티소품,20,all,서울,양천구,53.640748147276796
612,201901,화장품,화장품,20,F,서울,구로구,106.14362275283968
617,201901,화장품,화장품,20,M,서울,양천구,78.03921253386281
621,201901,화장품,화장품,20,all,서울,구로구,122.74786635164473
622,201901,화장품,화장품,20,all,서울,금천구,259.43416600042127
626,201901,화장품,화장품,20,all,서울,영등포구,78.63477994115482
633,201901,건강/의료용품,건강관리용품,20,F,서울,영등포구,135.8547219058495
636,201901,건강/의료용품,건강관리용품,20,M,서울,관악구,111.83389770094459
641,201901,건강/의료용품,건강관리용품,20,all,서울,동작구,63.912983656325686
653,201901,식품,가공식품,20,M,서울,강서구,117.01321677690693
654,201901,식품,가공식품,20,M,서울,관악구,110.02342739013781
658,201901,식품,가공식품,20,M,서울,양천구,121.56310781578657
663,201901,식품,가공식품,20,all,서울,양천구,116.67245783840859
668,201901,식품,기호식품,20,F,서울,관악구,105.63899405761852
670,201901,식품,기호식품,20,F,서울,구로구,95.59184829834398
677,201901,식품,기호식품,20,M,서울,양천구,230.84802728041646
688,201901,식품,담배,20,M,서울,강서구,152.5809781907343
692,201901,식품,담배,20,M,서울,영등포구,138.65700058582308
694,201901,식품,담배,20,all,서울,관악구,152.42556936034697
697,201901,식품,담배,20,all,서울,동작구,133.05630412869516
703,201901,식품,빙과류,20,F,서울,강서구,75.43952788116619
704,201901,식품,빙과류,20,F,서울,관악구,82.92413990978726
707,201901,식품,빙과류,20,F,서울,양천구,58.44889522944963
712,201901,식품,빙과류,20,M,서울,영등포구,63.61498085084203
715,201901,식품,빙과류,20,all,서울,강서구,71.7615521062661
721,201901,식품,빵류,20,F,서울,구로구,242.12177399727048
725,201901,식품,빵류,20,F,서울,영등포구,104.45782888631952
731,201901,식품,빵류,20,all,서울,강서구,111.26510456279676
737,201901,식품,빵류,20,all,서울,양천구,88.1322774891725
740,201901,식품,신선식품,20,F,서울,동작구,3.775882988888044
743,201901,식품,신선식품,20,F,서울,영등포구,152.72165346739698
755,201901,식품,유제품류,20,M,서울,금천구,177.52833756737098
760,201901,식품,유제품류,20,all,서울,동작구,54.14851662566957
766,201901,식품,음료,20,F,서울,강서구,105.92133752526176
767,201901,식품,음료,20,F,서울,관악구,104.72023832059368
769,201901,식품,음료,20,F,서울,동작구,70.44743505954062
773,201901,식품,음료,20,M,서울,강서구,102.64691411718864
774,201901,식품,음료,20,M,서울,구로구,91.637998807372
776,201901,식품,음료,20,M,서울,영등포구,86.4907647769504
788,201901,식품,제과류,20,F,서울,양천구,104.41870845943102
793,201901,식품,제과류,20,M,서울,관악구,94.28987347402555
796,201901,식품,제과류,20,M,서울,양천구,78.2234552771821
808,201901,식품,주류,20,M,서울,강서구,105.27530481202736
810,201901,식품,주류,20,M,서울,동작구,110.61552370956177
814,201901,식품,주류,20,all,서울,구로구,89.21766616911053
818,201901,식품,주류,20,all,서울,양천구,106.68862457288091
819,201901,일용품,생활용품,20,F,서울,강서구,106.117614346933
824,201901,일용품,생활용품,20,F,서울,양천구,69.84867309220833
826,201901,일용품,생활용품,20,M,서울,구로구,103.61627962610571
827,201901,일용품,생활용품,20,M,서울,동작구,49.523336249919964
829,201901,일용품,생활용품,20,all,서울,관악구,115.28660690145193
830,201901,일용품,생활용품,20,all,서울,금천구,208.0039285857288
831,201901,일용품,생활용품,20,all,서울,동작구,44.4686677903546
837,201901,일용품,애완동물용품,20,M,서울,관악구,112.1598094016311
841,201901,일용품,애완동물용품,20,M,서울,영등포구,103.19190084803692
845,201901,일용품,애완동물용품,20,all,서울,강서구,90.34244720468115
847,201901,일용품,애완동물용품,20,all,서울,구로구,74.8434519182152
848,201901,일용품,애완동물용품,20,all,서울,금천구,355.3452499854438
850,201901,일용품,애완동물용품,20,all,서울,동작구,31.710709318497912
853,201901,일용품,애완동물용품,20,all,서울,양천구,62.387285916697685
872,201901,화장품,바디/헤어용품,20,all,서울,강서구,106.65004243644512
875,201901,화장품,바디/헤어용품,20,all,서울,동작구,27.727886518872005
880,201901,화장품,바디/헤어용품,20,all,서울,양천구,68.77622657394232
884,201901,화장품,뷰티소품,20,F,서울,강서구,26.800862199927124
885,201901,화장품,뷰티소품,20,F,서울,관악구,108.98675854053384
890,201901,화장품,뷰티소품,20,M,서울,강서구,58.149295493154796
892,201901,화장품,뷰티소품,20,M,서울,영등포구,79.82230035516173
895,201901,화장품,뷰티소품,20,all,서울,강서구,29.813238741174
899,201901,화장품,뷰티소품,20,all,서울,영등포구,71.37263217541837
901,201901,화장품,화장품,20,F,서울,금천구,311.80942292598763
902,201901,화장품,화장품,20,F,서울,동작구,113.92260132814287
910,201901,화장품,화장품,20,M,서울,구로구,194.09112072129318
911,201901,화장품,화장품,20,M,서울,금천구,109.73169469829948
913,201901,화장품,화장품,20,M,서울,영등포구,46.308445819433715
919,201901,화장품,화장품,20,all,서울,양천구,113.75961215171206
923,201901,건강/의료용품,건강관리용품,20,F,서울,강서구,96.874930885768
926,201901,건강/의료용품,건강관리용품,20,F,서울,양천구,198.9778054239158
930,201901,건강/의료용품,건강관리용품,20,M,서울,양천구,72.88180482989429
937,201901,식품,가공식품,20,F,서울,금천구,232.8324625587207
942,201901,식품,가공식품,20,F,서울,영등포구,158.61047971309694
947,201901,식품,가공식품,20,M,서울,구로구,112.5626615497001
948,201901,식품,가공식품,20,M,서울,금천구,190.9762527476696
954,201901,식품,가공식품,20,all,서울,금천구,217.580464971579
958,201901,식품,가공식품,20,all,서울,영등포구,141.92598204515014
963,201901,식품,기호식품,20,F,서울,강서구,124.53827816118995
971,201901,식품,기호식품,20,M,서울,관악구,111.74327482149849
972,201901,식품,기호식품,20,M,서울,구로구,70.77574871900244
977,201901,식품,기호식품,20,all,서울,강서구,123.98400779147043
978,201901,식품,기호식품,20,all,서울,관악구,106.90246025382477
980,201901,식품,기호식품,20,all,서울,금천구,480.8351585488917
985,201901,식품,담배,20,F,서울,강서구,151.27696694950288
986,201901,식품,담배,20,F,서울,금천구,171.78936734436164
990,201901,식품,담배,20,F,서울,양천구,147.76476142701168
991,201901,식품,담배,20,F,서울,영등포구,104.97387608111698
992,201901,식품,담배,20,M,서울,금천구,206.3121076233184
995,201901,식품,담배,20,M,서울,동작구,138.1134183815998
999,201901,식품,담배,20,M,서울,양천구,190.59954186114604
1005,201901,식품,담배,20,all,서울,구로구,150.95703304443697
1007,201901,식품,담배,20,all,서울,양천구,167.52834971670146
1010,201901,식품,빙과류,20,F,서울,구로구,74.51413865787899
1011,201901,식품,빙과류,20,F,서울,금천구,217.07155567914987
1019,201901,식품,빙과류,20,M,서울,관악구,92.46419508067108
1024,201901,식품,빙과류,20,all,서울,구로구,70.97198276018258
1025,201901,식품,빙과류,20,all,서울,금천구,159.62948185617486
1026,201901,식품,빙과류,20,all,서울,양천구,56.06129577331996
1028,201901,식품,빵류,20,F,서울,강서구,111.84568864762056
1037,201901,식품,빵류,20,M,서울,관악구,102.18567330027665
1039,201901,식품,빵류,20,M,서울,구로구,101.38965053155336
