,period,catl,catm,age,gender,sido,sigungu,cgi
4,201901,건강/의료용품,건강관리용품,20,F,서울,마포구,145.14759536792926
6,201901,건강/의료용품,건강관리용품,20,F,서울,용산구,14.13718146819265
13,201901,건강/의료용품,건강관리용품,20,M,서울,마포구,105.95114623940485
14,201901,건강/의료용품,건강관리용품,20,M,서울,서대문구,93.00477774447859
16,201901,건강/의료용품,건강관리용품,20,M,서울,종로구,85.53794553002182
22,201901,건강/의료용품,건강관리용품,20,all,서울,마포구,128.1286546869768
25,201901,건강/의료용품,건강관리용품,20,all,서울,용산구,17.772256900951657
26,201901,건강/의료용품,건강관리용품,20,all,서울,은평구,105.88980753444193
34,201901,식품,가공식품,20,F,서울,서대문구,99.04926584129774
39,201901,식품,가공식품,20,M,서울,마포구,108.18560893578986
40,201901,식품,가공식품,20,M,서울,은평구,108.98029603872558
62,201901,식품,기호식품,20,all,서울,서대문구,127.91983536193622
65,201901,식품,기호식품,20,all,서울,종로구,74.35466724951348
71,201901,식품,담배,20,F,서울,용산구,97.43742937669658
72,201901,식품,담배,20,F,서울,은평구,114.08427430459929
78,201901,식품,담배,20,M,서울,은평구,190.69271758436943
81,201901,식품,담배,20,all,서울,마포구,160.98312532477595
84,201901,식품,담배,20,all,서울,용산구,157.1823622183334
85,201901,식품,담배,20,all,서울,은평구,146.43513046640604
92,201901,식품,빙과류,20,F,서울,종로구,90.45848925251192
100,201901,식품,빙과류,20,M,서울,마포구,50.16652421492621
102,201901,식품,빙과류,20,M,서울,용산구,82.0339437944196
103,201901,식품,빙과류,20,M,서울,은평구,76.50409765404001
104,201901,식품,빙과류,20,M,서울,종로구,38.2525395549436
112,201901,식품,빵류,20,F,서울,마포구,119.3069520445733
115,201901,식품,빵류,20,M,서울,마포구,102.36085969200045
118,201901,식품,빵류,20,M,서울,용산구,89.74601947864954
119,201901,식품,빵류,20,M,서울,은평구,134.3577693476837
130,201901,식품,신선식품,20,F,서울,서대문구,104.4250122178054
144,201901,식품,신선식품,20,all,서울,종로구,66.17394425450107
150,201901,식품,유제품류,20,F,서울,서대문구,100.70781494114092
158,201901,식품,유제품류,20,M,서울,마포구,77.81600130282209
159,201901,식품,유제품류,20,M,서울,서대문구,125.83252463713819
162,201901,식품,유제품류,20,M,서울,용산구,87.19527666877698
163,201901,식품,유제품류,20,M,서울,은평구,114.28479164645007
164,201901,식품,유제품류,20,M,서울,종로구,58.320607471222
171,201901,식품,유제품류,20,all,서울,종로구,70.41491167776942
176,201901,식품,음료,20,F,서울,서대문구,106.62084180318415
177,201901,식품,음료,20,F,서울,은평구,102.53819701764151
178,201901,식품,음료,20,F,서울,종로구,92.0932323383424
182,201901,식품,음료,20,M,서울,서대문구,115.75865259515815
189,201901,식품,음료,20,all,서울,용산구,95.09217467695164
190,201901,식품,음료,20,all,서울,종로구,83.92698644720875
193,201901,식품,제과류,20,F,서울,서대문구,98.59426500604326
201,201901,식품,제과류,20,M,서울,서대문구,142.12602026120328
