,행정동코드,시도명,주소명
222,11470510.0,서울특별시,양천구 목1동
223,11470520.0,서울특별시,양천구 목2동
224,11470530.0,서울특별시,양천구 목3동
225,11470540.0,서울특별시,양천구 목4동
226,11470550.0,서울특별시,양천구 목5동
227,11470560.0,서울특별시,양천구 신월1동
228,11470570.0,서울특별시,양천구 신월2동
229,11470580.0,서울특별시,양천구 신월3동
230,11470590.0,서울특별시,양천구 신월4동
231,11470600.0,서울특별시,양천구 신월5동
232,11470610.0,서울특별시,양천구 신월6동
233,11470611.0,서울특별시,양천구 신월7동
234,11470620.0,서울특별시,양천구 신정1동
235,11470630.0,서울특별시,양천구 신정2동
236,11470640.0,서울특별시,양천구 신정3동
237,11470650.0,서울특별시,양천구 신정4동
238,11470670.0,서울특별시,양천구 신정6동
239,11470680.0,서울특별시,양천구 신정7동
240,11500510.0,서울특별시,강서구 염창동
241,11500520.0,서울특별시,강서구 등촌1동
242,11500530.0,서울특별시,강서구 등촌2동
243,11500535.0,서울특별시,강서구 등촌3동
244,11500540.0,서울특별시,강서구 화곡1동
245,11500550.0,서울특별시,강서구 화곡2동
246,11500560.0,서울특별시,강서구 화곡3동
247,11500570.0,서울특별시,강서구 화곡4동
248,11500590.0,서울특별시,강서구 화곡본동
249,11500591.0,서울특별시,강서구 화곡6동
250,11500593.0,서울특별시,강서구 화곡8동
251,11500603.0,서울특별시,강서구 가양1동
252,11500604.0,서울특별시,강서구 가양2동
253,11500605.0,서울특별시,강서구 가양3동
254,11500611.0,서울특별시,강서구 발산1동
255,11500615.0,서울특별시,강서구 우장산동
256,11500620.0,서울특별시,강서구 공항동
257,11500630.0,서울특별시,강서구 방화1동
258,11500640.0,서울특별시,강서구 방화2동
259,11500641.0,서울특별시,강서구 방화3동
260,11530510.0,서울특별시,구로구 신도림동
261,11530520.0,서울특별시,구로구 구로1동
262,11530530.0,서울특별시,구로구 구로2동
263,11530540.0,서울특별시,구로구 구로3동
264,11530550.0,서울특별시,구로구 구로4동
265,11530560.0,서울특별시,구로구 구로5동
266,11530595.0,서울특별시,구로구 가리봉동
267,11530720.0,서울특별시,구로구 고척1동
268,11530730.0,서울특별시,구로구 고척2동
269,11530740.0,서울특별시,구로구 개봉1동
270,11530750.0,서울특별시,구로구 개봉2동
271,11530760.0,서울특별시,구로구 개봉3동
272,11530770.0,서울특별시,구로구 오류1동
273,11530780.0,서울특별시,구로구 오류2동
274,11530790.0,서울특별시,구로구 수궁동
275,11530800.0,서울특별시,구로구 항동
276,11545510.0,서울특별시,금천구 가산동
277,11545610.0,서울특별시,금천구 독산1동
278,11545620.0,서울특별시,금천구 독산2동
279,11545630.0,서울특별시,금천구 독산3동
280,11545640.0,서울특별시,금천구 독산4동
281,11545670.0,서울특별시,금천구 시흥1동
282,11545680.0,서울특별시,금천구 시흥2동
283,11545690.0,서울특별시,금천구 시흥3동
284,11545700.0,서울특별시,금천구 시흥4동
285,11545710.0,서울특별시,금천구 시흥5동
286,11560515.0,서울특별시,영등포구 영등포본동
287,11560535.0,서울특별시,영등포구 영등포동
288,11560540.0,서울특별시,영등포구 여의동
289,11560550.0,서울특별시,영등포구 당산1동
290,11560560.0,서울특별시,영등포구 당산2동
291,11560585.0,서울특별시,영등포구 도림동
292,11560605.0,서울특별시,영등포구 문래동
293,11560610.0,서울특별시,영등포구 양평1동
294,11560620.0,서울특별시,영등포구 양평2동
295,11560630.0,서울특별시,영등포구 신길1동
296,11560650.0,서울특별시,영등포구 신길3동
297,11560660.0,서울특별시,영등포구 신길4동
298,11560670.0,서울특별시,영등포구 신길5동
299,11560680.0,서울특별시,영등포구 신길6동
300,11560690.0,서울특별시,영등포구 신길7동
301,11560700.0,서울특별시,영등포구 대림1동
302,11560710.0,서울특별시,영등포구 대림2동
303,11560720.0,서울특별시,영등포구 대림3동
304,11590510.0,서울특별시,동작구 노량진1동
305,11590520.0,서울특별시,동작구 노량진2동
306,11590530.0,서울특별시,동작구 상도1동
307,11590540.0,서울특별시,동작구 상도2동
308,11590550.0,서울특별시,동작구 상도3동
309,11590560.0,서울특별시,동작구 상도4동
310,11590605.0,서울특별시,동작구 흑석동
311,11590620.0,서울특별시,동작구 사당1동
312,11590630.0,서울특별시,동작구 사당2동
313,11590640.0,서울특별시,동작구 사당3동
314,11590650.0,서울특별시,동작구 사당4동
315,11590651.0,서울특별시,동작구 사당5동
316,11590660.0,서울특별시,동작구 대방동
317,11590670.0,서울특별시,동작구 신대방1동
318,11590680.0,서울특별시,동작구 신대방2동
319,11620525.0,서울특별시,관악구 보라매동
320,11620545.0,서울특별시,관악구 청림동
321,11620565.0,서울특별시,관악구 성현동
322,11620575.0,서울특별시,관악구 행운동
323,11620585.0,서울특별시,관악구 낙성대동
324,11620595.0,서울특별시,관악구 청룡동
325,11620605.0,서울특별시,관악구 은천동
326,11620615.0,서울특별시,관악구 중앙동
327,11620625.0,서울특별시,관악구 인헌동
328,11620630.0,서울특별시,관악구 남현동
329,11620645.0,서울특별시,관악구 서원동
330,11620655.0,서울특별시,관악구 신원동
331,11620665.0,서울특별시,관악구 서림동
332,11620685.0,서울특별시,관악구 신사동
333,11620695.0,서울특별시,관악구 신림동
334,11620715.0,서울특별시,관악구 난향동
335,11620725.0,서울특별시,관악구 조원동
336,11620735.0,서울특별시,관악구 대학동
337,11620745.0,서울특별시,관악구 삼성동
338,11620765.0,서울특별시,관악구 미성동
339,11620775.0,서울특별시,관악구 난곡동
